participant,group,test,stim1,stim2,stim3,response,odd-one-out,correct-response
C06-LV,LV,pre,board,board,buoyed,3,3,1
C06-LV,LV,pre,bot,bot,but,2,3,0
C06-LV,LV,pre,boat,bout,boat,2,2,1
C06-LV,LV,pre,bit,bet,bit,1,2,0
C06-LV,LV,pre,bit,bite,bite,3,1,0
C06-LV,LV,pre,beard,bared,bared,1,1,1
C06-LV,LV,pre,bit,beat,beat,3,1,0
C06-LV,LV,pre,bit,beat,bit,2,2,1
C06-LV,LV,pre,bot,but,but,2,1,0
C06-LV,LV,pre,bat,bat,but,1,3,0
C06-LV,LV,pre,bot,but,bot,3,2,0
C06-LV,LV,pre,bart,but,bart,2,2,1
C06-LV,LV,pre,board,buoyed,board,3,2,0
C06-LV,LV,pre,bird,bared,bird,1,2,0
