participant,vowel,group,test,duration,f1@50,f2@50
C021stLV,hear,LV,post,360,753,2388
C021stLV,heard,LV,post,268,897,1837
C021stLV,heed,LV,post,294,514,2934
C021stLV,hid,LV,post,131,546,2488
C021stLV,hide,LV,post,329,1003,1542
C021stLV,hoard,LV,post,366,564,1124
C021stLV,hod,LV,post,119,875,1376
C021stLV,hoed,LV,post,227,751,1379
C021stLV,hood,LV,post,81,630,1469
C021stLV,howd,LV,post,329,693,1267
C021stLV,hoyd,LV,post,400,795,1518
C021stLV,hud,LV,post,144,938,1460
C021stLV,whod,LV,post,314,606,2923
C022stLV,had,LV,post,153,890,1920
C022stLV,haired,LV,post,398,696,2229
C022stLV,hard,LV,post,446,897,1305
C022stLV,hayed,LV,post,434,587,3231
C022stLV,head,LV,post,163,625,2577
C022stLV,hear,LV,post,426,629,2312
C022stLV,heard,LV,post,417,516,1928
C022stLV,heed,LV,post,324,420,1976
C022stLV,hid,LV,post,190,511,2745
C022stLV,hide,LV,post,504,1083,1869
C022stLV,hoard,LV,post,406,615,1171
C022stLV,hod,LV,post,186,630,1245
C022stLV,hoed,LV,post,365,459,1568
C022stLV,hood,LV,post,232,602,2073
C022stLV,howd,LV,post,402,1133,1958
C022stLV,hoyd,LV,post,446,676,1359
C022stLV,hud,LV,post,165,886,1600
C022stLV,whod,LV,post,347,425,1097
C023stLV,had,LV,post,184,930,1475
C023stLV,haired,LV,post,291,901,1888
C023stLV,hard,LV,post,236,873,1409
C023stLV,hayed,LV,post,314,601,2485
C023stLV,head,LV,post,148,704,2131
C023stLV,hear,LV,post,349,821,1910
C023stLV,heard,LV,post,237,837,1896
C023stLV,heed,LV,post,248,413,2923
C023stLV,hid,LV,post,134,472,2467
C023stLV,hide,LV,post,292,699,1350
C023stLV,hoard,LV,post,201,681,1113
C023stLV,hod,LV,post,165,700,1334
C023stLV,hoed,LV,post,319,649,1772
C023stLV,hood,LV,post,136,497,1133
C023stLV,howd,LV,post,325,882,1362
C023stLV,hoyd,LV,post,332,813,1366
C023stLV,hud,LV,post,130,912,1676
C023stLV,whod,LV,post,242,487,1193
C024stLV,had,LV,post,155,995,1543
C024stLV,haired,LV,post,245,476,990
C024stLV,hard,LV,post,256,940,1421
C024stLV,hayed,LV,post,176,534,2529
C024stLV,head,LV,post,141,804,2205
C024stLV,hear,LV,post,305,682,2371
C024stLV,heard,LV,post,238,848,1389
C024stLV,heed,LV,post,175,547,2826
C024stLV,hid,LV,post,102,586,2761
C024stLV,hide,LV,post,151,1054,1437
C024stLV,hoard,LV,post,225,739,1230
C024stLV,hod,LV,post,114,622,1134
C024stLV,hoed,LV,post,233,795,1540
C024stLV,hood,LV,post,134,789,1651
C024stLV,howd,LV,post,292,1048,1709
C024stLV,hoyd,LV,post,194,765,1616
C024stLV,hud,LV,post,133,875,1364
C024stLV,whod,LV,post,237,509,2051
C02stLV,had,LV,post,131,961,1663
C02stLV,haired,LV,post,239,1026,1512
C02stLV,hard,LV,post,194,1012,1231
C02stLV,hayed,LV,post,274,714,2478
C02stLV,head,LV,post,128,952,1833
C02stLV,hear,LV,post,334,1099,1984
C02stLV,heard,LV,post,259,697,1470
C02stLV,heed,LV,post,240,488,3166
C02stLV,hid,LV,post,137,604,2389
C02stLV,hide,LV,post,257,867,1963
C02stLV,hoard,LV,post,243,760,1231
C02stLV,hod,LV,post,123,771,1496
C02stLV,hoed,LV,post,273,565,2407
C02stLV,hood,LV,post,74,533,1835
C02stLV,howd,LV,post,256,1146,1864
C02stLV,hoyd,LV,post,274,770,2117
C02stLV,hud,LV,post,132,774,1609
C02stLV,whod,LV,post,255,535,1424
C03stLV,had,LV,post,204,947,1614
C03stLV,haired,LV,post,232,666,1809
C03stLV,hard,LV,post,244,1049,1361
C03stLV,hayed,LV,post,282,502,2927
C03stLV,head,LV,post,118,921,2476
C03stLV,hear,LV,post,234,526,3198
C03stLV,heard,LV,post,229,607,1899
C03stLV,heed,LV,post,266,494,2895
C03stLV,hid,LV,post,155,493,2407
C03stLV,hide,LV,post,250,997,1680
C03stLV,hoard,LV,post,227,641,1113
C03stLV,hod,LV,post,75,843,1525
C03stLV,hoed,LV,post,249,529,2377
C03stLV,hood,LV,post,157,509,2015
C03stLV,howd,LV,post,190,1137,1631
C03stLV,hoyd,LV,post,248,730,1567
C03stLV,hud,LV,post,202,1089,1725
C03stLV,whod,LV,post,236,526,1680
C04stLV,had,LV,post,169,1227,2111
C04stLV,haired,LV,post,224,1239,1615
C04stLV,hard,LV,post,225,869,1570
C04stLV,hayed,LV,post,256,666,2205
C04stLV,head,LV,post,174,1035,2632
C04stLV,hear,LV,post,331,1149,2151
C04stLV,heard,LV,post,259,772,1847
C04stLV,heed,LV,post,322,659,2918
C04stLV,hid,LV,post,176,656,2328
C04stLV,hide,LV,post,272,1306,2275
C04stLV,hoard,LV,post,231,756,1336
C04stLV,hod,LV,post,224,779,1422
C04stLV,hoed,LV,post,249,648,1794
C04stLV,hood,LV,post,159,680,1854
C04stLV,howd,LV,post,270,1090,1854
C04stLV,hoyd,LV,post,230,641,2422
C04stLV,hud,LV,post,101,1331,1737
C04stLV,whod,LV,post,243,485,1904
C05stLV,had,LV,post,184,1249,2045
C05stLV,haired,LV,post,352,971,2441
C05stLV,hard,LV,post,338,1076,1684
C05stLV,hayed,LV,post,309,597,3137
C05stLV,head,LV,post,239,948,2596
C05stLV,hear,LV,post,390,770,2031
C05stLV,heard,LV,post,286,451,972
C05stLV,heed,LV,post,318,431,3282
C05stLV,hid,LV,post,137,540,2818
C05stLV,hide,LV,post,404,849,1452
C05stLV,hoard,LV,post,243,894,1329
C05stLV,hod,LV,post,120,877,1582
C05stLV,hoed,LV,post,278,782,2238
C05stLV,hood,LV,post,233,642,2280
C05stLV,howd,LV,post,213,1102,1759
C05stLV,hoyd,LV,post,365,516,1751
C05stLV,hud,LV,post,149,1174,2026
C05stLV,whod,LV,post,237,460,1648
C06stLV,had,LV,post,127,1068,1802
C06stLV,haired,LV,post,300,519,1308
