participant,vowel,group,test,duration,f1@50,f2@50
C021stHV,hear,HV,post,360,753,2388
C021stHV,heard,HV,post,268,897,1837
C021stHV,heed,HV,post,294,514,2934
C021stHV,hid,HV,post,131,546,2488
C021stHV,hide,HV,post,329,1003,1542
C021stHV,hoard,HV,post,366,564,1124
C021stHV,hod,HV,post,119,875,1376
C021stHV,hoed,HV,post,227,751,1379
C021stHV,hood,HV,post,81,630,1469
C021stHV,howd,HV,post,329,693,1267
C021stHV,hoyd,HV,post,400,795,1518
C021stHV,hud,HV,post,144,938,1460
C021stHV,whod,HV,post,314,606,2923
C022stHV,had,HV,post,153,890,1920
C022stHV,haired,HV,post,398,696,2229
C022stHV,hard,HV,post,446,897,1305
C022stHV,hayed,HV,post,434,587,3231
C022stHV,head,HV,post,163,625,2577
C022stHV,hear,HV,post,426,629,2312
C022stHV,heard,HV,post,417,516,1928
C022stHV,heed,HV,post,324,420,1976
C022stHV,hid,HV,post,190,511,2745
C022stHV,hide,HV,post,504,1083,1869
C022stHV,hoard,HV,post,406,615,1171
C022stHV,hod,HV,post,186,630,1245
C022stHV,hoed,HV,post,365,459,1568
C022stHV,hood,HV,post,232,602,2073
C022stHV,howd,HV,post,402,1133,1958
C022stHV,hoyd,HV,post,446,676,1359
C022stHV,hud,HV,post,165,886,1600
C022stHV,whod,HV,post,347,425,1097
C023stHV,had,HV,post,184,930,1475
C023stHV,haired,HV,post,291,901,1888
C023stHV,hard,HV,post,236,873,1409
C023stHV,hayed,HV,post,314,601,2485
C023stHV,head,HV,post,148,704,2131
C023stHV,hear,HV,post,349,821,1910
C023stHV,heard,HV,post,237,837,1896
C023stHV,heed,HV,post,248,413,2923
C023stHV,hid,HV,post,134,472,2467
C023stHV,hide,HV,post,292,699,1350
C023stHV,hoard,HV,post,201,681,1113
C023stHV,hod,HV,post,165,700,1334
C023stHV,hoed,HV,post,319,649,1772
C023stHV,hood,HV,post,136,497,1133
C023stHV,howd,HV,post,325,882,1362
C023stHV,hoyd,HV,post,332,813,1366
C023stHV,hud,HV,post,130,912,1676
C023stHV,whod,HV,post,242,487,1193
C024stHV,had,HV,post,155,995,1543
C024stHV,haired,HV,post,245,476,990
C024stHV,hard,HV,post,256,940,1421
C024stHV,hayed,HV,post,176,534,2529
C024stHV,head,HV,post,141,804,2205
C024stHV,hear,HV,post,305,682,2371
C024stHV,heard,HV,post,238,848,1389
C024stHV,heed,HV,post,175,547,2826
C024stHV,hid,HV,post,102,586,2761
C024stHV,hide,HV,post,151,1054,1437
C024stHV,hoard,HV,post,225,739,1230
C024stHV,hod,HV,post,114,622,1134
C024stHV,hoed,HV,post,233,795,1540
C024stHV,hood,HV,post,134,789,1651
C024stHV,howd,HV,post,292,1048,1709
C024stHV,hoyd,HV,post,194,765,1616
C024stHV,hud,HV,post,133,875,1364
C024stHV,whod,HV,post,237,509,2051
C02stHV,had,HV,post,131,961,1663
C02stHV,haired,HV,post,239,1026,1512
