group,test,speaker,vowel,f1,f2
LV,pre,C010LV,had,1.31041951115196,0.0767213080120784
LV,pre,C010LV,hard,1.31572485330238,-0.805272866252268
LV,pre,C010LV,head,-0.366068608378484,-1.2785380329307
LV,pre,C010LV,heard,0.742747901057793,0.0618283482214984
LV,pre,C010LV,heed,-1.14595390448917,2.20145023813482
LV,pre,C010LV,hid,-0.854160086216462,1.4203972357844
LV,pre,C010LV,hoard,-0.100801500857843,-0.750665347020141
LV,pre,C010LV,hod,-0.100801500857843,-0.207899701319005
LV,pre,C010LV,hood,-0.541144899342106,-0.0837917030641722
LV,pre,C010LV,hud,1.18839664169247,-0.197971061458619
LV,pre,C010LV,whod,-1.4483584070627,-0.436258418107898
LV,pre,C011LV,had,1.41150170204955,0.274158218834645
LV,pre,C011LV,hard,1.40341075951565,-0.481486486366061
LV,pre,C011LV,head,-0.582915632555637,-0.736217393775348
LV,pre,C011LV,heard,0.250451448435576,-0.568676260043065
LV,pre,C011LV,heed,-0.845871264907234,2.05043615707793
LV,pre,C011LV,hid,-0.821598437305548,1.06741419895484
LV,pre,C011LV,hoard,0.104814482825461,-1.40638192870448
LV,pre,C011LV,hod,0.327315402507582,-0.861018442371845
LV,pre,C011LV,hood,-0.971280874182611,0.37331521634967
LV,pre,C011LV,hud,1.11618229956237,-0.396006316094488
LV,pre,C011LV,whod,-1.39200988594517,0.684463036138195
LV,pre,C012LV,had,0.675570962839651,0.603691797752735
LV,pre,C012LV,hard,1.0192139959604,-0.462386487249338
LV,pre,C012LV,head,-0.455587354516142,1.6225696701364
LV,pre,C012LV,heard,0.611137894129511,0.493014968164734
LV,pre,C012LV,heed,-1.23594340889451,-0.123845596744862
LV,pre,C012LV,hid,-0.333880446952544,1.48096843228116
LV,pre,C012LV,hoard,0.682730192696333,-1.22247589044929
LV,pre,C012LV,hod,-0.455587354516142,-1.32664231829682
LV,pre,C012LV,hood,-0.0976258616820304,-0.41193087376069
LV,pre,C012LV,hud,1.45592701721801,0.26515090724826
LV,pre,C012LV,whod,-1.86595563628254,-0.918114609082285
LV,pre,C013LV,had,1.42782836750109,0.612212834618502
LV,pre,C013LV,hard,1.41537966575009,-0.0865735960374791
